Title,Premiere,Runtime,Language
Three Songs for Benazir,"January 24, 2022",22 min,Pashto
The Tinder Swindler,"February 2, 2022",1 h 54 min,English
Downfall: The Case Against Boeing,"February 18, 2022",1 h 29 min,English
11M: Terror in Madrid,"February 23, 2022",1 h 32 min,Spanish
Surviving Paradise: A Family Tale,"March 3, 2022",1 h 19 min,English
Broken Idol: The Undoing of Diomedes Díaz,"March 30, 2022",1 h 42 min,Spanish
Trust No One: The Hunt for the Crypto King,"March 30, 2022",1 h 30 min,English
Return to Space,"April 7, 2022",2 h 8 min,English
White Hot: The Rise & Fall of Abercrombie & Fitch,"April 19, 2022",1 h 28 min,English
The Mystery of Marilyn Monroe: The Unheard Tapes,"April 27, 2022",1 h 41 min,English
Hold Your Breath: The Ice Dive,"May 3, 2022",40 min,English
Our Father,"May 11, 2022",1 h 37 min,English
Cyber Hell: Exposing an Internet Horror,"May 18, 2022",1 h 45 min,Korean
The Photographer: Murder in Pinamar,"May 19, 2022",1 h 46 min,Spanish
Gladbeck: The Hostage Crisis,"June 8, 2022",1 h 31 min,German
Jennifer Lopez: Halftime,"June 14, 2022",1 h 36 min,English
"Sing, Dance, Act: Kabuki featuring Toma Ikuta","June 16, 2022",1 h 27 min,Japanese
The Martha Mitchell Effect,"June 17, 2022",40 min,English
Civil: Ben Crump,"June 19, 2022",1 h 41 min,English
Girl in the Picture,"July 6, 2022",1 h 42 min,English
My Daughter's Killer,"July 12, 2022",1 h 24 min,French
Never Stop Dreaming: The Life and Legacy of Shimon Peres,"July 13, 2022",2 h 9 min,English
Bank Robbers: The Last Great Heist,"August 10, 2022",1 h 50 min,Spanish
Stay on Board: The Leo Baker Story,"August 11, 2022",1 h 13 min,English
Inside the Mind of a Cat,"August 18, 2022",1 h 7 min,English
Untold: The Rise and Fall of AND1,"August 23, 2022",1 h 9 min,English
Running with the Devil: The Wild World of John McAfee,"August 24, 2022",1 h 45 min,English
The Figo Affair: The Transfer that Changed Football,"August 25, 2022",1 h 44 min,Spanish
Untold: Operation Flagrant Foul,"August 30, 2022",1 h 17 min,English
Get Smart With Money,"September 6, 2022",1 h 33 min,English
Untold: The Race of the Century,"September 6, 2022",1 h 23 min,English
The Anthrax Attacks,"September 8, 2022",1 h 35 min,English
Skandal! Bringing Down Wirecard,"September 16, 2022",1 h 33 min,English
The Dreamlife of Georgie Stone,"September 22, 2022",29 min,English
A Trip to Infinity,"September 26, 2022",1 h 19 min,English
Into the Deep: The Submarine Murder Case,"September 30, 2022",1 h 27 min,English
The Trapped 13: How We Survived The Thai Cave,"October 5, 2022",1 h 43 min,Thai
The Joys and Sorrows of Young Yuguo,"October 6, 2022",28 min,English
The Redeem Team,"October 7, 2022",1 h 38 min,English
LiSA: Another Great Day,"October 18, 2022",1 h 37 min,Japanese
Descendant,"October 21, 2022",1 h 49 min,English
Fugitive: The Curious Case of Carlos Ghosn,"October 26, 2022",1 h 35 min,English
Orgasm Inc: The Story of OneTaste,"November 5, 2022",1 h 29 min,English
State of Alabama vs. Brittany Smith,"November 10, 2022",40 min,English
Capturing the Killer Nurse,"November 11, 2022",1 h 35 min,English
Is That Black Enough for You?!?,"November 11, 2022",2 h 15 min,English
Stutz,"November 14, 2022",1 h 36 min,English
In Her Hands,"November 16, 2022",1 h 33 min,English
Racionais MC's: From the Streets of São Paulo,"November 16, 2022",1 h 56 min,Portuguese
I Am Vanessa Guillen,"November 17, 2022",1 h 36 min,English
Ghislaine Maxwell: Filthy Rich,"November 25, 2022",1 h 41 min,English
The Last Dolphin King,"November 25, 2022",1 h 34 min,Spanish
Take Your Pills: Xanax,"November 30, 2022",1 h 30 min,English
The Masked Scammer,"December 1, 2022",1 h 30 min,English
"""Sr.""","December 2, 2022",1 h 30 min,English
In Broad Daylight: The Narvarte Case,"December 8, 2022",1 h 48 min,Spanish
The Elephant Whisperers,"December 8, 2022",41 min,Tamil
Kangaroo Valley,"December 14, 2022",1 h 16 min,English
The Volcano: Rescue from Whakaari,"December 16, 2022",1 h 38 min,English
